"UNLOCODE","NOMLOCALITAT","ISOPAIS","NOMPAIS","AREGEOGRAFICA","NOMAREAGEOGRAFICA"
"ATREG","Regau                              ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATRHN","Ranshofen                          ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATSGS","Sankt Georgen bei Salzburg         ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATSPZ","Spitz                              ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATSSS","Steinberg                          ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATSTD","Steeg                              ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATTAM","Tamsweg                            ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATTFS","Terfens                            ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATTKP","Taufkirchen an der Pram            ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATTMR","Traismauer                         ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATVEL","Velden                             ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATWEU","Weinburg                           ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATZNG","Zobing                             ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"AUABP","Abbot Point","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUADL","Adelaide","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUAGS","Augusta","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUAIR","Airlie Terminal                    ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUALH","Albany","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUALI","Australind                         ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUARD","Ardrossan","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUAUA","Armadale                           ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUBAH","Ballast Head","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUBAR","Barry Beach                        ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUBBG","Bing Bong","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUBBY","Bremer Bay                         ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUBCH","Beachport","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUBDB","Bundaberg","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUBEL","Bell Bay","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUBFD","Beresfield                         ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUBME","Broome","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUBMW","Broadmeadows","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUBNE","Brisbane","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUBNK","Ballina","AU","Australia","09","Australia, New Zealand/Pacific Islands"
