_id,NOMVAIXELL,NUMLLOYDS,TIPUSVAIXELLLLOYDS,CALLSIGN,MMSI,PAISISO,PORTREGISTREISO,TIPVAIXELL,MAXCALAT,MAXESLORA,MAXMANIGA,NUMRAMPES
1583,CETO,9537642,Chemical/Products Tanker,9HA5302,215822000,MT,MTMLA,11,"6,4","121,62",16,
1584,CEZANNE,9697416,Container Ship (Fully Cellular),9V5998,563062300,SG,SGSIN,17,"15,03","299,92","48,2",
1585,CEZAYIRLI GAZI HASAN PASA,,"",9930,,TR,"",18,"4,4",99,"11,8",
1586,CFS HORIZON,9366500,Container Ship (Fully Cellular),5BTQ5,210216000,CY,CYLMS,17,"7,8","149,6","22,7",
1587,CFS WIND,9366495,Container Ship (Fully Cellular),9V8723,563185300,SG,SGSIN,17,"7,8","149,6","22,7",
1588,CHACABUCO,9295957,Container Ship (Fully Cellular),A8JM7,636092679,LR,LRMLW,17,14,"275,8",40,
1589,CHAILEASE VIRTUE,9454280,Bulk Carrier,5LDC7,636021270,LR,LRMLW,12,"14,38","224,9","32,26",
1590,CHAKRA,5402863,Yacht,J8Y4579,377427000,VC,VCKTN,23,"4,85",74,"12,5",
1591,CHALLENGE PASSAGE,9310707,Products Tanker,3EAT3,371005000,PA,PAPTY,11,"12,62","179,99","32,2",
1592,CHAMPION,8800511,"",D5EX2,636016183,LR,LRMLW,11,"11,22",176,"32,03",
1593,CHAMPION TIMUR,9288837,Crude/Oil Products Tanker,LAKA5,257357000,NO,NOBGO,11,"12,4","183,88","32,2",
1594,CHAMTANG,9212400,Chemical/Products Tanker,3EXF5,357964000,PA,PAPTY,11,"11,02",183,"27,4",
1595,CHANG BAO HAI,9176278,Bulk Carrier,BOEB5,413380150,CN,"",12,"11,74","189,33","30,95",
1596,CHANG QIANG,9144524,"",VRVR9,477619000,HK,HKHKG,12,"11,62",186,"30,43",
1597,CHANG YOUNG,9300788,Chemical/Products Tanker,D7AV,440144000,KR,KRCHA,11,"8,71","127,2","20,4",
1598,CHANGLIANGHAI,9264037,Bulk Carrier,BUSA3,414391000,CN,"",12,"11,77","187,5",31,
1599,CHAPEL,9254070,Crude/Oil Products Tanker,5OYM,657251500,NG,NGLOS,11,"12,67","182,5","32,2",
1600,CHARLIE,9595383,Bulk Carrier,V7WH2,538004306,MH,MHMAJ,12,"10,1","179,9",30,
1601,CHARLOTTA,9429209,Container Ship (Fully Cellular),CQAY2,255806308,PT,PTFNC,17,"8,7","140,67","23,2",
1602,CHARLOTTE BORCHARD,9212022,Container Ship (Fully Cellular),V7AO8,538005039,MH,MHMAJ,17,"9,2","158,7","25,6",
1603,CHARLOTTE ESSBERGER,9294680,Chemical/Products Tanker,CQEA6,255806329,PT,PTFNC,11,"6,96","99,95","17,2",
1604,CHARLOTTE THERESA,9400708,Chemical/Products Tanker,OWBJ2,220625000,DK,DKHER,11,"8,51","129,5","19,2",
1605,CHARLOTTE TOWN,,"",CGAJ,,CA,"",18,"7,5",135,17,
1606,CHARMINAR,9318022,Chemical/Products Tanker,3E2245,352002261,PA,PAPTY,11,"13,27",183,"32,2",
1607,CHAROITE,9555345,General Cargo Ship,UBAK5,273330940,RU,"",13,"6,41","89,96","14,5",
1608,CHARUCA SILVEIRA,9240299,Tug,EBRZ,224740000,ES,ESVGO,22,"4,2",27,"8,7",
1609,CHASTINE MAERSK,9219800,Container Ship (Fully Cellular),9V6205,563084400,SG,SGSIN,17,"14,94","346,98","42,8",
1610,CHAVIN,9247481,Products Tanker,3E2169,352001997,PA,PAPTY,11,"11,72","182,55","27,34",
1611,CHEER SKY,9116527,Cement Carrier,3EPW8,352150000,PA,PAPTY,12,"8,87",145,22,
1612,CHEIKH BOUAMAMA,9324344,LNG Tanker,C6XE4,311006300,BS,BSNAS,11,"9,98","219,95",35,
1613,CHEIKH EL MOKRANI,9324332,LNG Tanker,C6WD5,309979000,BS,BSNAS,11,10,"219,95",35,
1614,CHELSEA,9392250,LPG Tanker,S6HE6,565946000,SG,SGSIN,14,"7,7","119,5",19,
1615,CHEM,9240914,Chemical/Products Tanker,E5U4368,518998388,CK,CKAIU,11,"7,76",125,"18,8",
1616,CHEM ALTAMIRA,9705744,Chemical/Products Tanker,D5FU2,636016362,LR,LRMLW,11,"9,78",145,"24,2",
1617,CHEM AMSTERDAM,9640138,Chemical/Products Tanker,V7BY2,538005215,MH,MHMAJ,11,"9,71",141,"24,2",
1618,CHEM ARGON,9716004,Chemical/Products Tanker,D5TK2,636019198,LR,LRMLW,11,"9,72","146,5",24,
1619,CHEM FINLAND,9234587,Chemical/Products Tanker,D5XH3,636020021,LR,LRMLW,11,"12,18","182,9","32,2",
1620,CHEM HELEN,9340116,Chemical/Products Tanker,A8MG4,636013337,LR,LRMLW,11,"11,62","182,86","27,4",
1621,CHEM HERO,9402823,Chemical/Products Tanker,5LEU3,636021606,LR,LRMLW,11,"8,9","144,38",23,
1622,CHEM HOUSTON,9705720,Chemical/Products Tanker,D5FT8,636016360,LR,LRMLW,11,"9,78",145,"24,2",
