_id,NOMVAIXELL,NUMLLOYDS,TIPUSVAIXELLLLOYDS,CALLSIGN,MMSI,PAISISO,PORTREGISTREISO,TIPVAIXELL,MAXCALAT,MAXESLORA,MAXMANIGA,NUMRAMPES
244,ALEXANDRA RICKMERS,9152739,"",ELVX4,636016548,LR,LRMLW,17,"11,02","195,33","30,2",
245,ALEXANDRE Z,,"",IOW1,,FR,"",22,"3,5",19,5,
246,ALEXANDRIA,8738897,Yacht,LXWM,253195000,LU,LULUX,23,"1,93","32,68","6,3",
247,ALEXANDROS III,9575436,Bulk Carrier,V7A4219,538009031,MH,MHMAJ,12,"10,17","179,9","28,4",
248,ALEXANDROUPOLI,9390185,LNG Tanker,SVDS5,241838000,GR,"",14,"12,4","288,6",44,
249,ALEXIS,9686900,Container Ship (Fully Cellular),V7IL2,538005958,MH,MHMAJ,17,"14,55","270,9","42,8",
250,ALEYNA MERCAN,9296547,Chemical/Products Tanker,9HA3816,256096000,MT,MTMLA,11,"6,18","94,71","14,7",
251,ALFA,9310367,Chemical/Products Tanker,V4TV4,341578000,KN,KNBAS,11,"6,29","105,5","16,8",
252,ALFA FINLANDIA,9823041,Crude Oil Tanker,C6DY7,311000820,BS,BSNAS,14,"14,7",237,44,
253,ALFA MARE,8318609,"",3FYM,351250000,PA,PAPTY,12,"10,67","179,89","23,14",
254,ALFA NERO,1009376,Yacht,ZCTL4,,ZZ,"",23,"3,9","81,27","13,8",
255,ALFA QUATTRO,,"",745876,,GB,"",23,"3,23","22,45","6,04",
256,ALFAISALIAH,9231274,Bulk Carrier,3E3787,352002106,PA,PAPTY,12,"14,14","224,94","32,26",
257,ALFRED N,9749324,Chemical/Products Tanker,V7LV6,538006805,MH,MHMAJ,11,"10,02","169,06","25,6",
258,ALGECIRAS EXPRESS,9227015,Container Ship (Fully Cellular),5LFP9,636021776,LR,LRMLW,17,"12,63","259,8","32,25",
259,ALHENA,9538141,Chemical/Products Tanker,C6ZP3,311061900,BS,BSNAS,11,13,"183,2","32,2",
260,ALI A,7915307,General Cargo Ship,5VIF5,671304100,TG,TGLFW,13,"7,02","110,55","17,51",
261,ALI AKAY,9358759,General Cargo Ship,3FPN7,373550000,PA,PAPTY,13,"7,25","94,72",17,
262,ALI AYKIN,9166510,General Cargo Ship,J8B5729,377772000,VC,VCKTN,13,"6,44","93,72","14,85",
263,ALI BABA,9581980,Yacht,ZGBY4,319972000,KY,"",23,"2,55","49,95","8,6",
264,ALI KA,9451226,Chemical/Products Tanker,9HA5272,215764000,MT,MTMLA,11,"8,15","129,5","19,8",
265,ALIAGA EXPRESS,9751092,Container Ship (Fully Cellular),TCA4539,271044971,TR,TRIZM,17,11,"186,02","35,2",
266,ALICE STAR,9412610,Bulk Carrier,V7UH3,538002050,MH,MHMAJ,12,"9,64","175,53","29,4",
267,ALICE THERESA,9478303,Chemical/Products Tanker,OXCZ2,219148000,DK,DKHER,11,"7,6","101,39","19,05",
268,ALICIA,9092111,Yacht,ZGHX8,319147300,KY,"",23,"3,13","49,95","7,32",
269,ALICIA,9663623,Bulk Carrier,D5CD6,636015671,LR,LRMLW,12,"13,3","199,99","32,26",
270,ALICUDI M,9253777,Chemical/Products Tanker,IBEP,247098600,IT,ITCTA,11,"11,1","175,98",31,
271,ALINDA,9588378,Bulk Carrier,9HA2751,215522000,MT,MTMLA,12,"9,8",180,30,
272,ALISEO,,"",2133,,IT,"",18,"8,4",123,13,
273,ALITHINI II,9397456,Chemical/Products Tanker,9HA5514,229492000,MT,MTMLA,11,"12,8",183,"32,2",
274,ALIZE,4545967,"Diving Vessel, Naval Auxiliary",FALI,228123456,FR,FRTLN,18,"4,9",60,"13,8",
275,ALKAR,8309854,"",SUCD,622121411,EG,EGALY,12,"10,02","184,94","28,45",
276,ALKEA,9425502,Chemical/Products Tanker,5LGA3,636021853,LR,LRMLW,11,"11,32","184,32","27,4",
277,ALKIMOS,9430739,Chemical/Products Tanker,9HA4421,249894000,MT,MTMLA,11,"7,94",146,22,
278,ALKIVIADIS,9953406,Chemical/Products Tanker,V7A5771,538010223,MH,MHMAJ,11,"13,32","183,06","32,2",
279,ALLEGRA,9436707,Chemical/Products Tanker,IBMG,247276100,IT,"",11,11,"179,96","32,2",
280,ALLEGRI,9127459,Container Ship (Fully Cellular),9HZP8,256649000,MT,MTMLA,17,"8,62","168,8","27,3",
281,ALLEGRO,9142447,Container Ship (Fully Cellular),J8B5341,376609000,VC,VCKTN,17,"5,91","98,68","16,9",
282,ALLEGRO,9246554,Container Ship (Fully Cellular),V2CQ5,304642000,AG,AGSJO,17,"8,71","134,44","22,5",
283,ALLIANCE FAIRFAX,9303546,Vehicles Carrier,WLMQ,366771000,US,USORF,21,"9,62","199,1","32,2",2
284,ALLIANCE NORFOLK,9332547,Vehicles Carrier,LADHF,338619000,US,USORF,21,"10,02","199,9","32,26",1
285,ALLIANCE ST. LOUIS,9285500,Vehicles Carrier,WGAE,367093000,US,USORF,21,10,"199,9","32,26",2
286,ALLURE OF THE SEAS,9383948,Passenger/Cruise,C6XS8,311020700,BS,BSNAS,16,"9,3",360,47,
287,ALMARIYA,7928811,Passenger/Ro-Ro Ship (Vehicles),5BFT4,210556000,CY,CYLMS,15,"5,82","153,4","24,2",10
288,ALMTE.JUAN DE BORBON,,"",8160,,ES,"",18,"4,75",147,"18,6",
289,ALOPO,9329564,Container Ship (Fully Cellular),D5UO4,636019446,LR,LRMLW,17,"7,4","129,51","20,6",
290,ALP WINGER,9367504,Anchor Handling Vessel,PBIU,244830808,NL,NLRTM,22,"7,5",65,"18,5",
291,ALPENA,9162980,"",A8SS7,636014287,LR,LRMLW,12,"11,78","185,73","30,98",
292,ALPHA,9286451,Chemical/Products Tanker,D5MR2,636017776,LR,LRMLW,11,"8,22","118,37",19,
293,ALPHA DISCOVERY,9710581,Bulk Carrier,D5KO4,636017367,LR,LRMLW,12,"14,47","228,96","32,27",
294,ALPHA VISION,9597202,Bulk Carrier,SVBO8,241209000,GR,GRPIR,12,"14,5",229,"32,25",
295,ALPINE CONFIDENCE,9389978,Crude Oil Tanker,9V8151,564233000,SG,SGSIN,14,"14,55","243,8",42,
296,ALPINE LIBERTY,9478690,Chemical/Products Tanker,V7TT7,538003883,MH,MHMAJ,11,"13,02","183,09","32,2",
297,ALPINE MADELEINE,9380518,Chemical/Products Tanker,VREC6,477110300,HK,HKHKG,11,"12,77","183,21","32,2",
298,ALPINE MOMENT,9391438,Chemical/Products Tanker,VREV7,477185800,HK,HKHKG,11,"12,77","183,21","32,2",
299,ALPINE MYSTERY,9392808,Chemical/Products Tanker,VRFP2,477595800,HK,HKHKG,11,"12,77","183,21","32,2",
300,ALPINE PEMBROKE,9577056,Crude/Oil Products Tanker,A8XQ2,636014957,LR,LRMLW,11,"14,5","228,5","32,2",
301,ALSIA SWAN,9400356,Chemical/Products Tanker,9HA2334,248359000,MT,MTMLA,11,"6,28","105,5","16,8",
302,ALSTERDIEP,9472000,General Cargo Ship,5BKK2,212136000,CY,CYLMS,13,"5,1","89,94","15,2",
303,ALSTERN,9347073,General Cargo Ship,DDZU2,218861000,DE,DEHAM,13,"5,32","89,98","15,2",
304,ALTAIR LEADER,9539171,Vehicles Carrier,7JJJ,432817000,JP,JPTYO,21,"9,7","199,99","32,26",2
305,ALTAMIRA,8501426,"",ZCDJ4,310419000,BM,BMBDA,17,"11,53","269,67","32,29",
306,ALTAMIRA EXPRESS,9407146,Container Ship (Fully Cellular),VRFN8,477547100,HK,HKHKG,17,"13,65","294,13","32,2",
307,ALTAY,9349992,Bulk Carrier,V7XK6,538004502,MH,MHMAJ,12,"6,71","119,95","16,8",
308,ALULA EXPRESS,9525883,Container Ship (Fully Cellular),5LDX9,636021439,LR,LRMLW,17,"15,5","366,08","48,2",
309,ALVANITH,9856799,Chemical/Products Tanker,5BUR5,210253000,CY,CYLMS,11,"6,61",118,17,
310,ALVARO DE BAZAN,,"",GGR4,,ES,"",18,"7,2","146,4","18,6",
311,ALVISE DP,9393383,Chemical/Products Tanker,9HNC9,249213000,MT,MTMLA,11,"7,46",115,"18,2",
312,ALWINE OLDENDORFF,9692698,Bulk Carrier,D5YN3,636020283,LR,LRMLW,12,"13,04",198,"32,26",
313,ALYA,9133513,General Cargo Ship,3EUP3,357890000,PA,PAPTY,13,"4,95","88,45","11,35",
314,AMADEA,1012531,Yacht,ZGFM7,,US,"",23,"4,1","106,1","16,8",
315,AMADEA,8913162,Passenger/Cruise,C6VE9,308445000,BS,BSNAS,16,"6,62","192,82","24,7",
316,AMADEUS DIAMOND,9201968,General Cargo Ship,PBCS,,NL,NLDRU,13,"4,35","88,95","12,4",
317,AMADORE,8520824,Bulk Carrier,9HA2009,249784000,MT,MTMLA,12,"7,47","142,91","20,01",
318,AMAK SWAN,9318230,Chemical/Products Tanker,OYPD2,219355000,DK,DKMID,11,"5,7","92,86","14,1",
319,AMALFI,9465801,Bulk Carrier,9HA2432,248605000,MT,MTMLA,12,"14,25",225,"32,26",
320,AMALIA,9330355,Crude/Oil Products Tanker,A8KN5,636091197,LR,LRMLW,14,"14,47","228,6","32,26",
321,AMALIE ESSBERGER,9314777,Chemical/Products Tanker,CQLV,255805370,PT,PTFNC,11,"7,36","118,14","18,8",
322,AMALIYA,9312341,Bulk Carrier,9HA2210,248153000,MT,MTMLA,12,"9,78","169,3","27,2",
323,AMALTHEA,9397913,Container Ship (Fully Cellular),CQDE,255805781,PT,PTFNC,17,"12,5","268,8","32,2",
324,AMAN,9215517,General Cargo Ship,A9KU,,ZZ,"",13,"6,47","100,51","18,5",
325,AMANO-T,9117832,Bulk Carrier,V3TF7,312304000,BZ,BZBZE,12,"9,92",167,"26,2",
326,AMANY QUEEN,8318128,General Cargo Ship,V2AD6,667002053,SL,SLFNA,13,"6,82","96,98","17,6",
327,AMARA,1001178,Yacht,ZCOF3,319822000,KY,"",23,3,"57,3","9,5",
328,AMARAL,1009170,Yacht,ZCPR6,319201000,KY,"",23,"3,5","57,76","10,7",
329,AMARANTH,9458028,Chemical/Products Tanker,5BDX5,209507000,CY,"",11,"6,66",109,"16,8",
330,AMARILLO,9180011,Bulk Carrier,3FYK2,355844000,PA,PAPTY,12,"9,76","169,03","27,2",
331,AMARRADORES 200,7611846,"Hopper, Motor",EHGT,224857000,ES,ESSEV,22,"2,97",0,"9,05",
332,AMARRADORES QUINIENTOS,,"",MOB7,,ES,"",22,"4,1","29,9","20,12",
333,AMARTHEA,9752395,Crude Oil Tanker,9HA4757,248672000,MT,MTMLA,11,"15,02","250,1",44,
334,AMARYLLIS,1010519,Yacht,ZGBH7,319036400,KY,"",23,"3,35","78,43","12,4",
335,AMATASIA,9734252,Yacht,ZGGM3,319115600,KY,"",23,"3,85","84,98","14,25",
336,AMAZONEBORG,9333541,General Cargo Ship,PHIN,246572000,NL,NLDZL,13,"9,69",143,"21,5",
337,AMAZONITH,9293478,Chemical/Products Tanker,5BXB3,210688000,CY,CYLMS,11,"5,7","92,8","14,1",
338,AMBASSADOR S,9006370,General Cargo Ship,3EME3,372182000,PA,PAPTY,13,"5,47","87,9","12,8",
339,AMBER ARROW,9277826,Vehicles Carrier,C6TM3,311695000,BS,BSNAS,21,10,"199,91","32,25",2
340,AMBER BEE,9316608,Chemical/Products Tanker,9HA5501,229456000,MT,MTMLA,11,"11,11",176,31,
341,AMBER LIGHT,9158109,General Cargo Ship,V2BB2,304778000,AG,AGSJO,13,"5,68","99,91","12,8",
342,AMBER S,9200354,Bulk Carrier,D5WK3,636019839,LR,LRMLW,12,"11,75","185,73","30,95",
343,AMBER SKY,9312688,General Cargo Ship,CQEH8,255806387,PT,PTFNC,13,"6,14","106,12","14,4",
344,AMBER TRADER,9180853,General Cargo Ship,V2QO9,305976000,AG,AGSJO,13,"6,51","100,85","14,95",
345,AMBERLAND,9518969,General Cargo Ship,CQEF9,255806372,PT,PTFNC,13,"5,88","106,02","15,2",
346,AMBITION,1006881,Yacht,ZCGA2,319662000,KY,"",23,"2,74","56,5","9,8",
347,AMBITION,9172777,Passenger/Cruise,C6FL6,311001141,BS,BSNAS,16,7,216,"28,8",
348,AMEENA JAHAN,9538945,Bulk Carrier,S2BF3,405000293,BD,"",12,"12,3","189,94","32,26",
349,AMELAND,9434761,General Cargo Ship,V2DU8,305342000,AG,AGSJO,13,"5,7","115,46","16,5",
350,AMELAND,9508794,General Cargo Ship,PBVF,246629000,NL,NLHAR,13,"7,2","122,09","16,3",
351,AMELIA,9624768,Chemical/Products Tanker,3FPR4,357299000,PA,PAPTY,11,"9,72",149,24,
352,AMEN,7108514,"",V4DL3,341683000,KN,"",16,"7,49","168,74","24,64",
353,AMERA,8700280,Passenger/Cruise,C6EA7,311000840,BS,BSNAS,16,"7,25",204,"28,9",
354,AMERICA,9285990,Container Ship (Fully Cellular),P3XP9,209550000,CY,CYLMS,17,15,334,"42,8",
355,AMERIGO VESPUCCI,,"",IABJ,,IT,ITGOA,18,"7,32","104,2","15,54",
356,AMERSTROOM,9665023,Tug,PCQF,246877000,NL,"",22,"2,65","23,68","8,75",
357,AMETHYST,9246918,Chemical/Products Tanker,5BXW4,209223000,CY,CYLMS,11,"6,09","92,27","13,6",
358,AMETHYST ACE,9397999,Vehicles Carrier,3E3536,352980797,PA,PAPTY,20,"9,73","199,99","32,26",2
359,AMFITRION,9724623,Chemical/Products Tanker,D5IO6,636016951,LR,LRMLW,11,"13,3","183,08","32,2",
360,AMFITRITI,9419369,Crude/Oil Products Tanker,A8SA2,636014184,LR,LRMLW,14,"14,9","249,99",44,
361,AMGU,9113226,General Cargo Ship,5VHB2,671099100,TG,TGLFW,13,"6,36","99,4",17,
362,AMI,9360934,Chemical/Products Tanker,3EAZ5,371433000,PA,PAPTY,11,"9,67","144,09","24,2",
363,AMIAS,9342786,Chemical/Products Tanker,XVGD7,574004850,VN,VNHPH,11,"10,01",141,"24,2",
364,AMICA MEA,1007770,Yacht,ZCNG7,319260000,KY,"",23,"2,44","46,2","8,84",
365,AMIF,9396373,Chemical/Products Tanker,D5MW3,636019644,LR,LRMLW,11,11,180,"32,2",
366,AMIGOS,1013119,Yacht,ZGGR7,319118300,KY,"",23,"3,38","54,86",9,
367,AMIKO,9125669,General Cargo Ship,LYBQ,277563000,LT,LTKLJ,13,"5,9","99,98","16,5",
368,AMILCAR,9207998,Ro-Ro Cargo Ship,TSNA,672747000,TN,TNTUN,20,"7,4",193,26,1
369,AMIRA SEA,9141649,General Cargo Ship,J8B5732,377728000,VC,VCKTN,13,"6,39","100,62","16,2",
370,AMIS CHAMPION,9636369,Bulk Carrier,HPPY,357887000,PA,PAPTY,12,"12,82","199,98","32,26",
371,AMIS GLORY,9731535,Bulk Carrier,3FSN5,374710000,PA,PAPTY,12,"12,53","189,9","32,26",
372,AMIS LEADER,9520819,Bulk Carrier,HOSJ,370030000,PA,PAPTY,12,"12,83","189,99","32,26",
373,AMISIA,9361378,General Cargo Ship,5BEM5,209530000,CY,CYLMS,13,"6,51","110,78",14,
374,AMMOLIT,9016870,Chemical/Products Tanker,UBCV5,273213390,RU,"",11,"6,8","99,91","16,5",
375,AMMOS,9573804,Bulk Carrier,C6ET5,311000996,BS,BSNAS,12,"9,82","169,37","27,2",
376,AMO,9134622,Container Ship (Fully Cellular),JVTK7,457315000,MN,MNULN,17,"9,88","183,98","25,3",
377,AMOENITAS,9505510,General Cargo Ship,V2FB4,305621000,AG,AGSJO,13,"7,8","133,98",23,
378,AMONITH,9164093,Chemical/Products Tanker,5BPK3,210745000,CY,CYLMS,11,"6,25","92,6","15,3",
379,AMORE MIO,9774549,Yacht,ZJL9353,378394000,"","",23,"2,2",45,"7,94",
380,AMORE MIO 2,1005538,Yacht,9HA3550,229724000,MT,MTMLA,23,"3,5",52,"10,3",
381,AMPHITRITE,9314882,Chemical/Products Tanker,A8UJ2,636014505,LR,LRMLW,11,"11,72","182,55","27,34",
382,AMSTELSTROOM,9295775,Tug,PIAS,246203000,NL,"",22,"2,85","26,1","9,1",
383,AMSTERDAM EXPRESS,9193317,Container Ship (Fully Cellular),5LHX4,636093132,LR,LRMLW,17,"13,55","294,03","32,2",
384,AMUESA,9320805,General Cargo Ship,CQOC,255802640,PT,PTFNC,13,"6,3","89,5","13,7",
385,AMULETH,9778002,Chemical/Products Tanker,5BTE4,209066000,CY,CYLMS,11,"6,51","101,8","15,3",
386,AMUR STAR,9480368,Chemical/Products Tanker,9HA2141,248043000,MT,MTMLA,11,"8,71","128,6","20,4",
387,AMURBORG,9466336,General Cargo Ship,PBRO,246263000,NL,NLDZL,13,"9,69",143,"21,5",
388,AMURSKIY ZALIV,9409754,General Cargo Ship,3E2518,352001503,PA,PAPTY,13,"4,34","128,2","16,5",
389,AN CHANG,9407861,Bulk Carrier,BOCB8,412349000,CN,"",12,"12,5","189,9","32,26",
390,ANAEL,9360427,Chemical/Products Tanker,5LES2,636021590,LR,LRMLW,11,12,182,"27,42",
391,ANAFI,9460849,Products Tanker,5BKN5,209825000,CY,CYLMS,11,"6,01","90,22","15,6",
392,ANASTASIA,8926121,General Cargo Ship,T8A3736,511100573,PW,"",13,"5,5","84,3",16,
393,ANASTASIA K,8914154,General Cargo Ship,DMXJ,241739000,GR,GRJSY,13,"4,83","87,47",13,
394,ANASTASIA K,9695250,Yacht,J8Y4521,376427000,VC,VCKTN,23,"2,45",47,"8,5",
395,ANATOLI,9138941,"",SYTA,239950000,GR,GRPIR,12,"11,62","189,9",32,
396,ANATOLIY SUKHOV,9164029,General Cargo Ship,UBYV7,273298140,RU,RUKOR,13,"9,69","142,81","21,5",
397,ANAYA,9326885,Products Tanker,3E3719,352001906,PA,PAPTY,11,"14,18","228,5","32,23",
398,ANDANTE,9354387,Container Ship (Fully Cellular),CQBQ,255805845,PT,PTFNC,17,"8,71","134,44","22,5",
399,ANDEAN,9413925,Bulk Carrier,5BNN2,212450000,CY,CYLMS,12,"10,42","184,98","23,7",
400,ANDIAMO,9538816,Yacht,ZCYJ4,319004200,KY,"",23,"3,1","59,3","10,4",
401,ANDINO ALPHA,9254202,Chemical/Products Tanker,3FMW6,354556000,PA,PAPTY,11,"8,76","134,16","20,5",
402,ANDINO NU,9209996,Chemical/Products Tanker,OA5140,760003980,PE,PECLL,11,"8,56","124,02","20,6",
403,ANDREA,9333357,Container Ship (Fully Cellular),ZDIS8,236481000,GI,GIGIB,17,"8,7","134,4","22,5",
404,ANDREA D,9344174,Chemical/Products Tanker,9HA3915,256442000,MT,MTMLA,11,"7,77","114,99","18,2",
405,ANDREY PERVOZVANNIY,8871584,General Cargo Ship,UISP,273332800,RU,RUASF,13,"3,85","105,3","16,5",
406,ANDREY PERVOZVANNIY,9255268,Chemical/Products Tanker,UCSB,273414670,RU,"",11,"10,9","169,5","23,75",
407,ANDROMEDA,9315795,Chemical/Products Tanker,SYMH,240597000,GR,GRPIR,11,"11,7","182,55","27,3",
408,ANDROMEDA,9692545,Yacht,ZGES2,319879000,KY,"",23,"5,1","107,4",18,
409,ANDROMEDA J,9355422,Container Ship (Fully Cellular),5BKR3,209850000,CY,CYLMS,17,"7,36","139,6","22,2",
410,ANDROS,9371347,Products Tanker,5BLW5,209918000,CY,CYLMS,93,"6,01","90,22","15,6",
411,ANEMOS,9205952,Open Hatch Cargo Ship,3E2064,352898798,PA,PAPTY,12,"10,42","171,59",27,
412,ANGARA,9179842,Ro-Ro Cargo Ship,UBYT2,273210440,RU,"",20,"6,65","126,51",20,1
413,ANGEL 38,9175743,Products Tanker,3E2437,352978208,PA,PAPTY,11,"7,76",125,"18,8",
414,ANGEL NO. 2,9146027,Products Tanker,3FMG6,373360000,PA,PAPTY,11,"9,27",129,22,
415,ANGELES ALVARINO,9524645,Research Survey Vessel,EASE,225431000,ES,ESSCT,22,"4,73","46,7","10,5",
416,ANGELINA,9168154,General Cargo Ship,V4QW4,341439000,KN,KNBAS,13,"10,04",181,26,
417,ANGELO,9180877,General Cargo Ship,V2GW6,305791000,AG,AGSJO,13,"6,38","111,75","14,95",
418,ANGI,9253246,Chemical/Products Tanker,9HA3436,229599000,MT,MTMLA,11,"11,22","182,55","27,34",
419,ANGON,9320635,General Cargo Ship,CQPQ,255802380,PT,PTFNC,13,"6,3","89,5","13,7",
420,ANGORA 1,9324801,General Cargo Ship,D5YQ5,636020311,LR,LRMLW,13,"4,99","139,95","16,5",
421,ANGORA 3,9375082,General Cargo Ship,D5YQ7,636020313,LR,LRMLW,13,"4,99","139,95","16,7",
422,ANHOUT SWAN,9401300,Chemical/Products Tanker,OWMK2,219473000,DK,DKMID,11,"6,74","119,1","16,9",
423,ANITA A,9532343,Container Ship (Fully Cellular),5LDH8,636021307,LR,LRMLW,17,"7,65","132,7","19,2",
424,ANITTEPE-S,9418896,General Cargo Ship,TCSZ6,271001029,TR,TRIST,13,"6,62","91,95",15,
425,ANJA,9115987,General Cargo Ship,5BSY4,212519000,CY,CYLMS,13,"4,81","84,78","12,4",
426,ANKIE,9331359,General Cargo Ship,PHKA,244554000,NL,NLSJK,13,"5,25","89,99","12,5",
427,ANL WALWA,9317913,"",A8JF3,636091082,LR,LRMLW,17,"13,57","294,12","32,2",
428,ANNA,9040962,General Cargo Ship,TCBK7,271002144,TR,TRIST,13,"5,13","75,2",12,
429,ANNA,9361110,General Cargo Ship,PBMF,245615000,NL,NLRTM,13,"6,18","89,99",14,
430,ANNA,9435844,Chemical/Products Tanker,9HA4360,249733000,MT,MTMLA,11,"5,6","94,6","15,2",
431,ANNA,9566796,General Cargo Ship,ZDKC9,236592000,GI,GIGIB,13,"6,5","125,79","14,4",
432,ANNA 2005,9369459,General Cargo Ship,J8B5407,377221000,VC,VCKTN,13,"5,9",98,"15,8",
433,ANNA G.,9061291,Container Ship (Fully Cellular),V2HO7,304914000,AG,"",17,"6,55","101,15","18,2",
434,ANNA S,9207778,Bulk Carrier,A8TM3,636014381,LR,LRMLW,12,"14,03",225,"32,26",
435,ANNA SCHEPERS,9154218,"",V2GO3,304022000,AG,AGSJO,17,"11,4",208,"29,8",
436,ANNABELLE,9306457,Chemical/Products Tanker,V7A4215,538009027,MH,MHMAJ,11,"12,22","182,5","32,2",
437,ANNAMARIA D,9384186,General Cargo Ship,CQAF8,255806162,PT,PTFNC,13,"7,06","108,17","18,2",
438,ANNAMARIE,9287687,Container Ship (Fully Cellular),CQFZ,255805627,PT,PTFNC,17,"7,46","137,5","21,3",
439,ANNASTAR,9620190,Yacht,ZGCC8,319155000,KY,"",23,"2,32","49,94","9,31",
440,ANNE,9433365,General Cargo Ship,LXBQ,,AG,AGSJO,13,"7,65","116,08","15,8",
441,ANNELIESE ESSBERGER,9295426,Chemical/Products Tanker,PCFK,244363000,NL,NLDOR,11,"7,4",115,"18,8",
442,ANNELISE THERESA,9478286,Chemical/Products Tanker,OWET2,219023000,DK,DKHER,11,"7,61","101,39","19,05",
443,ANNIE,9468097,General Cargo Ship,V2EL7,305470000,AG,AGSJO,13,8,"138,04",21,
444,ANNIKA BRAREN,9849148,General Cargo Ship,DGTH2,211302790,DE,DEHAM,13,"6,35","86,93",15,
445,ANNIKA N,9514054,Bulk Carrier,V7A2762,538008791,MH,MHMAJ,12,"12,74",190,"32,26",
446,ANTAIOS,9196383,"",D5FW3,636016375,LR,LRMLW,12,"9,67","169,03","27,05",
447,ANTARA,9024906,Yacht (Sailing),MPHD3,235011760,IM,IMDGS,23,"3,26","44,25","9,19",
448,ANTARES,9449223,Chemical/Products Tanker,CQEF2,255806365,PT,PTFNC,11,"4,96","79,9","11,5",
449,ANTARES,9723019,Chemical/Products Tanker,C6BD4,311000231,BS,BSNAS,11,"10,5",183,31,
450,ANTARES BCN,,"",MYK1,225994881,ES,"",91,2,"12,5","4,05",
451,ANTARES I,9382073,Products Tanker,5LJ06,636022596,LR,LRMLW,11,"12,07","179,88","32,2",
452,ANTARES LEADER,9539169,Vehicles Carrier,7KLJ,431761000,JP,JPTYO,21,"9,73","199,99","32,26",2
453,ANTARI,9171084,General Cargo Ship,8PBN3,314652000,BB,BBBGI,13,"5,49","87,97","12,8",
454,ANTHEA Y,9710244,Container Ship (Fully Cellular),D5IS7,636016986,LR,LRMLW,17,"14,5","299,89","48,2",
455,ANTHEM OF THE SEAS,9656101,Passenger/Cruise,C6BI7,311000274,BS,BSNAS,16,"8,82","347,06","41,4",
456,ANTIGNANO,7945170,"Hopper, Motor",ECOS,224363230,ES,ESSCT,22,"1,63","59,24","9,2",
457,ANTIGNANO,9779252,Tug,INHX2,247343600,IT,ITGOA,92,"4,15",32,"13,17",
458,ANTIGONI,9180918,Bulk Carrier,V7JL3,538006067,MH,MHMAJ,12,"13,84",225,"32,2",
459,ANTINA G,,"",EASN,224331860,ES,"",98,"",22,"6,8",
460,ANTJE K.,9198630,General Cargo Ship,PBHS,245472000,NL,NLDZL,13,"5,64","90,25","15,2",
461,ANTON,9514456,Chemical/Products Tanker,ZDSH3,236112746,GI,GIGIB,11,"7,2","124,1","17,2",
462,ANTONIA S,9591088,Bulk Carrier,D5FK7,636016295,LR,LRMLW,12,"14,45",229,"32,26",
463,ANTWERP,9375848,General Cargo Ship,V2GT9,304087000,AG,AGSJO,13,"5,13","88,24","12,4",
464,ANTWERPEN EXPRESS,9612997,Container Ship (Fully Cellular),DJCE2,218791000,DE,DEHAM,17,"15,5","366,52","48,19",
465,ANWAAR AFRIQYA,9275268,Products Tanker,5AMU,642167061,LY,LYTIP,11,"11,82","171,2","27,4",
466,ANYA,9730268,Bulk Carrier,5BKZ4,212539000,CY,CYLMS,12,"13,1","189,9","32,26",
467,ANZORAS,9397664,General Cargo Ship,EAZC,224376000,ES,ESSCT,13,"6,22","99,9","15,6",
468,APA,9526409,Patrol Vessel,PWAP,710494000,BR,"",18,"3,8","90,5","13,5",
469,APAGEON,9278870,Bulk Carrier,9HRM8,256334000,MT,MTMLA,12,"12,02","189,9","32,26",
470,APALOS,9267285,General Cargo Ship,5LEH3,636021510,LR,LRMLW,13,"7,36","145,63","18,25",
471,APATYTH,9247388,Chemical/Products Tanker,5BJC4,209763000,CY,CYLMS,11,"9,17","167,57","26,4",
472,APHRODITE L,9487615,Bulk Carrier,A8YS7,636015123,LR,LRMLW,14,"14,5",229,"32,26",
473,APHRODITE LEADER,9335953,Vehicles Carrier,7KCW,431777000,JP,JPKOX,20,"10,33","199,94","32,26",2
474,APHRODITE M,9450832,Bulk Carrier,V7SN9,538003690,MH,MHMAJ,12,"9,92",180,30,
475,APHROS,9460514,Bulk Carrier,V7A4516,538009257,MH,MHMAJ,12,"12,57","189,99","32,26",
476,API BHUM,9292149,Container Ship (Fully Cellular),9V8270,563167500,SG,SGSIN,17,"13,5","294,08","32,2",
477,APJ SHIRIN,9491408,Bulk Carrier,3EVS6,373223000,PA,PAPTY,12,"12,8","189,99","32,26",
478,APJ UMA KISMAT,9227675,Bulk Carrier,AWWG,419001307,IN,INCCU,12,"14,01","224,97","32,2",
479,APL ANTWERP,9532795,Container Ship (Fully Cellular),9HA4736,248633000,MT,MTMLA,17,"14,52","320,37",46,
480,APL BARCELONA,9462043,Container Ship (Fully Cellular),9V9402,566483000,SG,SGSIN,17,"15,5","347,38","45,2",
481,APL CHONGQING,9461867,Container Ship (Fully Cellular),9V9373,566318000,SG,SGSIN,17,"15,5","349,27","45,6",
482,APL DANUBE,9674517,Container Ship (Fully Cellular),9HA3553,229726000,MT,MTMLA,17,"14,8","299,95","48,2",
483,APL DETROIT,9632208,Container Ship (Fully Cellular),9V9925,566960000,SG,SGSIN,17,15,"328,2","45,2",
484,APL DUBLIN,9601314,Container Ship (Fully Cellular),9V9404,566705000,SG,SGSIN,17,"15,81","347,29","45,21",
485,APL GWANGYANG,9461879,Container Ship (Fully Cellular),9V9374,566319000,SG,SGSIN,17,"15,53",349,"45,6",
