Terminal ABR;Terminal;Data (any);Data (mes);Data (dia del mes);Data;Rang Data;Temps Accés Reserva;Temps Accés
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;06:20 - 06:40;;5,077766667
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;06:40 - 07:00;;4,2229125
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;07:00 - 07:20;;8,216666667
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;07:20 - 07:40;;6,54585
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;07:40 - 08:00;;6,800011111
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;08:00 - 08:20;;7,21334
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;08:20 - 08:40;;10,64047143
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;08:40 - 09:00;;11,079175
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;09:00 - 09:20;;6,629175
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;09:20 - 09:40;;7,605
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;09:40 - 10:00;;6,810714286
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;10:00 - 10:20;;7,123069231
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;10:20 - 10:40;;9,826190476
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;10:40 - 11:00;;5,524155
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;11:00 - 11:20;;8,6104125
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;11:20 - 11:40;;10,10762286
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;11:40 - 12:00;;8,558886667
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;12:00 - 12:20;;9,070579412
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;12:20 - 12:40;;13,52803636
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;12:40 - 13:00;;9,78125
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;13:00 - 13:20;;14,17346296
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;13:20 - 13:40;;7,218893333
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;13:40 - 14:00;;4,8541625
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;14:00 - 14:20;;7,660526316
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;14:20 - 14:40;;10,63685263
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;14:40 - 15:00;;11,00832857
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;15:00 - 15:20;;7,359642105
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;15:20 - 15:40;;8,623455556
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;15:40 - 16:00;;7,21444
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;16:00 - 16:20;;13,21376522
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;16:20 - 16:40;;9,981044828
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;16:40 - 17:00;;8,742311539
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;17:00 - 17:20;;14,62255294
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;17:20 - 17:40;;10,61862941
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;17:40 - 18:00;;12,44814444
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;18:00 - 18:20;;8,37499375
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;18:20 - 18:40;;6,579166667
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;18:40 - 19:00;;15,43094286
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;19:00 - 19:20;;3,87
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;19:20 - 19:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;11;2017/01/11;05:40 - 06:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;11;2017/01/11;06:00 - 06:20;;9,5087
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;11;2017/01/11;06:20 - 06:40;;5,547786667
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;11;2017/01/11;06:40 - 07:00;;5,592307692
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;11;2017/01/11;07:00 - 07:20;;5,570372222
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;11;2017/01/11;07:20 - 07:40;;9,12605
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;11;2017/01/11;07:40 - 08:00;;9,2323
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;11;2017/01/11;08:00 - 08:20;;9,016666667
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;11;2017/01/11;08:20 - 08:40;;11,56668
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;11;2017/01/11;08:40 - 09:00;;9,62998
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;11;2017/01/11;09:00 - 09:20;;9,6577
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;11;2017/01/11;09:20 - 09:40;;12,364165
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;11;2017/01/11;09:40 - 10:00;;10,24095833
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;11;2017/01/11;10:00 - 10:20;;8,576476471
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;11;2017/01/11;10:20 - 10:40;;8,46889
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;11;2017/01/11;10:40 - 11:00;;17,57528966
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;11;2017/01/11;11:00 - 11:20;;19,95902083
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;11;2017/01/11;11:20 - 11:40;;23,67436154
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;11;2017/01/11;11:40 - 12:00;;29,02795484
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;11;2017/01/11;12:00 - 12:20;;34,368
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;11;2017/01/11;12:20 - 12:40;;39,69404286
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;11;2017/01/11;12:40 - 13:00;;49,425
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;11;2017/01/11;13:00 - 13:20;;53,99374688
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;11;2017/01/11;13:20 - 13:40;;53,51881935
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;11;2017/01/11;13:40 - 14:00;;61,07668
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;11;2017/01/11;14:00 - 14:20;;71,1075
